% Model:              THGEM.mph
% Version:            COMSOL 6.3.0.290
% Date:               May 25 2026, 16:42
% Dimension:          3
% Nodes:              54098
% Expressions:        1
% Description:        电势
% Length unit:        m
% x                       y                        z                        V (V)
-3.8854111682340084E-5    3.82991888960035E-4      0.0020000000000000018    -100.00000000000001
-3.367619330108462E-5     3.70399414276466E-4      0.0020000000000000018    -100.00000000000001
-6.270343523976643E-5     3.9483204440203014E-4    0.002000000000000002     -100.00000000000001
-4.866911674819693E-5     3.953769696578178E-4     0.002000000000000002     -100.00000000000001
-6.171413158795333E-5     3.9534371698565876E-4    0.00198562145278431      -100.29187803682413
-7.737882781396095E-5     3.949355572791481E-4     0.002000000000000002     -100.00000000000001
4.3766654119305346E-5     2.5708342637987836E-4    0.0019831545320899272    -101.8649258126104
3.6386945394812565E-5     2.6032192282819883E-4    0.0019915772660449647    -100.85539274623999
4.733818932746348E-5      2.4762920063898684E-4    0.001991577266044965     -100.91475665163662
2.900723667031979E-5      2.6356041927651924E-4    0.002000000000000002     -100.00000000000001
3.995848060297071E-5      2.5086769708730725E-4    0.0020000000000000026    -100.00000000000001
5.090972453562163E-5      2.3817497489809526E-4    0.0020000000000000026    -100.00000000000001
5.331946734578358E-5      2.621577501334862E-4     0.0019915772660449634    -101.48186179409066
4.59397586212908E-5       2.6539624658180667E-4    0.002000000000000001     -100.00000000000001
5.689100255394172E-5      2.527035243925947E-4     0.0020000000000000013    -100.00000000000001
6.287228057226181E-5      2.672320738870941E-4     0.002                    -100.00000000000001
2.129451135406569E-5      2.480405482205017E-4     0.0020000000000000026    -100.00000000000001
2.8674220078558466E-5     2.448020517721813E-4     0.001991577266044965     -100.48631387005162
3.2245755286716606E-5     2.353478260312897E-4     0.0020000000000000026    -100.00000000000001
1.3581786037811586E-5     2.3252067716448416E-4    0.0020000000000000026    -99.99999999999999
1.8105547126072202E-4     1.6061085979410703E-4    0.001980605658628463     -101.46183440011312
1.7195698081628558E-4     1.6460513232092035E-4    0.0019903028293142325    -100.87129647367975
1.7467175659919442E-4     1.500052539979334E-4     0.0019903028293142325    -100.50843905787109
1.6285849037184913E-4     1.6859940484773364E-4    0.002000000000000002     -100.00000000000001
1.6557326615475798E-4     1.539995265247467E-4     0.002000000000000002     -100.00000000000001
1.6828804193766683E-4     1.3939964820175975E-4    0.002000000000000002     -100.00000000000001
1.907289582745131E-4      1.6054972254581827E-4    0.0019903028293142325    -100.87036972908074
1.8163046783007666E-4     1.6454399507263157E-4    0.002000000000000002     -100.00000000000001
1.843452436129855E-4      1.4994411674964462E-4    0.002000000000000002     -100.00000000000001
2.004024452883042E-4      1.604885852975295E-4     0.002000000000000002     -99.99999999999999
1.9905694718161306E-4     1.4261181123972986E-4    0.002000000000000002     -100.00000000000001
1.8299974550629438E-4     1.32067342691845E-4      0.002000000000000002     -100.00000000000001
1.8938346016782198E-4     1.4267294848801864E-4    0.0019903028293142325    -100.43278596129194
1.9771144907492193E-4     1.2473503718193023E-4    0.002000000000000002     -100.00000000000001
1.8561406233181616E-4     1.754438602472004E-4     0.001990302829314232     -101.47270737816854
1.9528754934560724E-4     1.7538272299891163E-4    0.0020000000000000018    -100.00000000000001
1.9017265340291032E-4     1.902768607002938E-4     0.002000000000000001     -100.00000000000001
1.765155718873797E-4      1.794381327740137E-4     0.0020000000000000018    -100.00000000000001
1.1987085920525586E-4     1.5632777695789363E-4    0.0019794506145017076    -100.58233810848354
1.2686898212958304E-4     1.5108400362395295E-4    0.0019897253072508544    -100.28880903669398
1.097614574475316E-4      1.5908554296697338E-4    0.001989725307250855     -100.2875116760264
1.338671050539102E-4      1.4584023029001227E-4    0.0020000000000000018    -99.99999999999999
1.1675958037185878E-4     1.538417696330327E-4     0.0020000000000000018    -100.00000000000001
9.965205568980735E-5      1.6184330897605313E-4    0.002000000000000002     -99.99999999999999
1.1381911038324927E-4     1.441083330652591E-4     0.001989725307250855     -100.16174050706522
1.2081723330757644E-4     1.3886455973131841E-4    0.0020000000000000018    -100.00000000000001
1.0370970862552502E-4     1.4686609907433885E-4    0.002000000000000002     -100.00000000000001
1.0776736156124268E-4     1.3188888917262456E-4    0.002000000000000002     -100.00000000000001
1.2627736042041638E-4     1.680250383266376E-4     0.001989725307250855     -100.51258635631794
1.3327548334474354E-4     1.6278126499269692E-4    0.0020000000000000018    -100.00000000000001
1.3268386163557688E-4     1.7972229969538157E-4    0.002000000000000002     -100.00000000000001
1.1616795866269212E-4     1.7078280433571735E-4    0.002000000000000002     -100.00000000000001
8.321312243834153E-5      1.7174851753611574E-4    0.002000000000000002     -100.00000000000001
1.013000284758158E-4      1.785626265586775E-4     0.002000000000000002     -100.00000000000001
6.677418918687571E-5      1.8165372609617834E-4    0.002000000000000002     -99.99999999999999
8.486109522434998E-5      1.884678351187401E-4     0.002000000000000002     -100.00000000000001
1.0294800126182425E-4     1.9528194414130187E-4    0.002000000000000002     -100.00000000000001
8.72736604874393E-5       1.6342427202229603E-4    0.0019902218551996406    -100.19957495778331
7.083472723597347E-5      1.7332948058235864E-4    0.0019902218551996406    -100.18929081942632
8.892163327344774E-5      1.801435896049204E-4     0.0019902218551996406    -100.37269894802266
7.489526528507123E-5      1.6500523506853893E-4    0.0019804437103992795    -100.26312296379984
7.218277061466688E-5      1.582773072936196E-4     0.0019902218551996406    -100.08926224839668
6.947027594426253E-5      1.5154937951870028E-4    0.002000000000000002     -100.00000000000001
8.456116581703494E-5      1.566963442473767E-4     0.002000000000000002     -100.00000000000001
6.812223256556912E-5      1.666015528074393E-4     0.002000000000000002     -100.00000000000001
5.809469620649075E-5      1.5531819190309736E-4    0.0020000000000000026    -100.00000000000001
6.08071908768951E-5       1.6204611967801668E-4    0.001990221855199641     -100.06714978800657
4.671911646871897E-5      1.5908700428749444E-4    0.0020000000000000026    -100.00000000000001
5.674665282779734E-5      1.703703651918364E-4     0.0020000000000000026    -100.00000000000001
9.682129436971304E-5      1.3354278046351104E-4    0.002000000000000002     -100.00000000000001
9.276364143399538E-5      1.4851999036522533E-4    0.002000000000000002     -100.00000000000001
1.0287304319171963E-4     1.4576222435614558E-4    0.001989725307250855     -100.13095968094102
8.58752271781834E-5       1.3519667175439752E-4    0.002000000000000002     -100
1.6123844713342573E-4     1.42252797386253E-4      0.0019897253072508553    -100.34079891743478
1.5418885232918467E-4     1.4510594657074624E-4    0.0019794506145017084    -100.65077387969788
1.5852367135051689E-4     1.5685267570923994E-4    0.0019897253072508553    -100.56635034580214
1.6762216179495333E-4     1.5285840318242665E-4    0.0019800281365650856    -100.98376917241725
1.4402797869154742E-4     1.4547308843037925E-4    0.0019897253072508553    -100.29857415582465
1.5107757349578851E-4     1.42619939245886E-4      0.0020000000000000018    -100.00000000000001
1.510959579287066E-4      1.3188177324196366E-4    0.0019897253072508553    -100.18597837234594
1.5814555273294768E-4     1.290286240574704E-4     0.002000000000000002     -100.00000000000001
1.4093508429106937E-4     1.3224891510159667E-4    0.0020000000000000018    -100.00000000000001
1.4800306352822853E-4     1.1865759991318107E-4    0.002000000000000002     -100.00000000000001
1.4836279771287967E-4     1.5721981756887295E-4    0.0020000000000000018    -100.00000000000001
1.47771176003713E-4       1.741608522715576E-4     0.002000000000000002     -100.00000000000001
1.4343635698238076E-4     1.624141231330639E-4     0.0019897253072508553    -100.58539629618697
1.3702985576722026E-4     1.5071686176431994E-4    0.001979450614501708     -100.63903654456128
1.2528003042179894E-4     1.1977329274179965E-4    0.002000000000000002     -100
1.2771495974766255E-4     1.1157505111715482E-4    0.002000000000000002     -100.00000000000001
1.1652461183418684E-4     1.1247013783935878E-4    0.002000000000000002     -100.00000000000001
1.3014988907352615E-4     1.0337680949250999E-4    0.002000000000000002     -100
1.1895954116005044E-4     1.0427189621471395E-4    0.002000000000000002     -100.00000000000001
1.0776919324657474E-4     1.0516698293691791E-4    0.002000000000000002     -100.00000000000001
1.2287111331317583E-4     1.1816811555300197E-4    0.0019898630590861784    -100.00886267839887
1.2530604263903943E-4     1.0996987392835713E-4    0.0019898630590861784    -99.97429250898129
1.1411569472556374E-4     1.108649606505611E-4     0.0019898630590861784    -99.95876341318079
1.2046219620455274E-4     1.1656293836420428E-4    0.0019797261181723545    -99.98080674358901
1.3664154697501374E-4     1.1921544632749036E-4    0.002000000000000002     -100.00000000000001
1.3907647630087734E-4     1.1101720470284553E-4    0.002000000000000002     -100.00000000000001
1.3423262986639062E-4     1.1761026913869268E-4    0.0019898630590861784    -100.02895769706848
1.0776827740390871E-4     1.1852793605477124E-4    0.002000000000000002     -100.00000000000001
1.1411477888289771E-4     1.2422591376841442E-4    0.0019898630590861784    -100.02112476825538
